"신고연도","신고월","신고일","남편주소행정구역시도코드","남편주소행정구역시군구코드","아내주소행정구역시도코드","아내주소행정구역시군구코드","실제결혼연도","실제결혼월","남편직업분류코드","아내직업분류코드","남편교육정도코드","아내교육정도코드","남편결혼종류코드","아내결혼종류코드","남편연령5세단위코드","아내연령5세단위코드"
2024,01,02,11,010,11,010,2022,03,13,13,6,6,1,1,04,04
2024,01,02,11,010,11,010,2024,01,02,03,5,5,3,3,10,10
2024,01,02,11,010,11,090,2022,08,01,02,5,5,3,3,09,07
2024,01,02,11,010,11,220,2024,01,03,03,6,5,1,1,04,03
2024,01,02,11,020,11,020,2024,01,01,01,6,5,3,1,09,09
2024,01,02,11,020,11,020,2024,01,99,99,9,9,1,1,07,06
2024,01,02,11,020,11,160,2023,07,03,13,5,4,1,1,06,03
2024,01,02,11,030,11,230,2023,09,02,02,6,5,1,1,04,05
2024,01,02,11,040,11,040,2021,05,03,03,5,5,1,1,06,05
2024,01,02,11,040,11,040,2023,01,02,02,6,5,1,1,05,04
2024,01,02,11,040,11,040,2023,12,03,13,5,5,1,1,07,05
2024,01,02,11,040,11,040,2024,01,02,02,5,6,1,1,05,05
2024,01,02,11,040,11,190,2023,11,02,05,5,5,1,1,06,05
2024,01,02,11,040,11,200,2024,01,03,02,5,5,1,1,05,05
2024,01,02,11,040,11,240,2024,01,06,05,4,4,3,3,11,11
2024,01,02,11,050,11,050,2024,01,99,99,9,9,1,1,06,05
2024,01,02,11,050,11,050,2024,01,99,99,9,9,1,1,06,07
2024,01,02,11,050,11,050,2024,01,99,99,9,9,3,3,11,10
2024,01,02,11,050,11,060,2024,01,99,99,5,5,1,1,05,06
2024,01,02,11,060,11,060,2023,02,08,02,4,4,3,1,06,05
2024,01,02,11,060,11,060,2024,01,99,99,9,9,1,1,05,05
2024,01,02,11,060,11,060,2024,01,99,99,9,9,1,1,05,06
2024,01,02,11,060,11,230,2023,07,02,02,6,6,1,1,06,05
2024,01,02,11,060,11,250,2023,12,03,13,6,4,3,3,11,09
2024,01,02,11,070,11,070,2023,12,02,02,5,5,1,1,06,04
2024,01,02,11,070,11,070,2024,01,01,03,5,5,1,1,05,04
2024,01,02,11,070,11,070,2024,01,02,02,6,6,1,1,07,07
2024,01,02,11,070,11,070,2024,01,02,05,5,4,1,1,04,04
2024,01,02,11,070,11,070,2024,01,03,03,5,5,1,1,05,04
2024,01,02,11,070,11,070,2024,01,03,03,5,5,1,1,07,06
2024,01,02,11,070,11,070,2024,01,05,05,4,4,3,3,12,11
2024,01,02,11,070,11,080,2024,01,05,05,5,5,1,1,04,04
2024,01,02,11,070,11,210,2023,12,03,03,5,4,1,1,07,06
2024,01,02,11,080,11,080,2023,09,99,99,3,5,1,1,05,05
2024,01,02,11,080,11,080,2023,11,03,05,5,5,1,1,06,06
2024,01,02,11,080,11,080,2024,01,99,99,9,9,1,1,05,05
2024,01,02,11,080,11,080,2024,01,99,99,9,9,1,1,06,06
2024,01,02,11,080,11,180,2024,01,99,99,5,6,1,1,05,04
2024,01,02,11,090,11,090,2024,01,99,99,9,9,1,1,05,05
2024,01,02,11,090,11,090,2024,01,99,99,9,9,1,1,07,07
2024,01,02,11,090,11,120,2024,01,99,99,9,9,1,1,08,07
2024,01,02,11,100,11,040,2023,04,01,03,4,5,1,1,05,06
2024,01,02,11,100,11,080,2020,02,03,03,5,5,1,1,05,05
2024,01,02,11,100,11,080,2024,01,99,99,9,9,1,1,07,07
2024,01,02,11,100,11,100,2024,01,02,02,5,5,1,1,04,04
2024,01,02,11,100,11,100,2024,01,02,13,4,5,3,3,07,06
2024,01,02,11,100,11,100,2024,01,03,03,4,5,1,1,05,05
2024,01,02,11,100,11,110,2022,09,99,05,9,5,1,1,06,06
2024,01,02,11,110,11,080,2023,12,03,02,4,4,1,1,05,05
2024,01,02,11,110,11,110,2022,12,05,02,4,5,1,1,04,04
2024,01,02,11,110,11,110,2024,01,05,03,9,4,1,1,05,05
2024,01,02,11,120,11,010,2024,01,03,03,5,5,1,1,06,05
2024,01,02,11,120,11,120,2022,04,05,03,4,5,1,1,07,05
2024,01,02,11,120,11,120,2022,10,02,02,5,5,1,1,05,05
2024,01,02,11,120,11,120,2022,10,02,02,6,5,1,1,05,05
2024,01,02,11,120,11,120,2023,11,03,05,5,5,3,3,07,07
2024,01,02,11,120,11,120,2024,01,03,13,4,4,1,1,04,04
2024,01,02,11,120,11,120,2024,01,99,99,9,9,1,1,05,04
2024,01,02,11,120,11,120,2024,01,99,99,9,9,1,1,06,06
2024,01,02,11,120,11,120,2024,01,99,99,9,9,1,1,07,07
2024,01,02,11,120,11,150,2024,01,03,03,4,6,1,1,06,05
2024,01,02,11,120,11,200,2023,06,05,13,5,5,1,1,03,03
2024,01,02,11,130,11,080,2024,01,05,05,6,5,1,1,06,04
2024,01,02,11,130,11,130,2022,10,02,02,6,5,1,1,05,05
2024,01,02,11,130,11,130,2024,01,99,99,9,9,1,1,05,05
2024,01,02,11,130,11,130,2024,01,99,99,9,9,3,3,12,11
2024,01,02,11,130,11,200,2024,01,99,99,9,9,1,1,06,05
2024,01,02,11,140,11,140,2022,03,03,03,4,5,1,1,05,05
2024,01,02,11,140,11,140,2023,05,99,99,9,9,1,1,05,05
2024,01,02,11,140,11,140,2023,06,02,03,5,5,1,1,05,05
2024,01,02,11,140,11,140,2023,08,02,02,5,6,1,1,04,04
2024,01,02,11,140,11,140,2023,11,03,02,5,5,1,1,04,04
2024,01,02,11,140,11,140,2024,01,02,02,5,6,1,1,06,06
2024,01,02,11,140,11,140,2024,01,03,05,5,5,1,1,06,06
2024,01,02,11,140,11,140,2024,01,05,05,5,5,1,1,04,04
2024,01,02,11,140,11,140,2024,01,13,02,6,5,1,1,04,04
2024,01,02,11,140,11,140,2024,01,99,03,9,5,1,1,06,05
2024,01,02,11,140,11,140,2024,01,99,99,9,9,1,1,05,06
2024,01,02,11,140,11,140,2024,01,99,99,9,9,3,1,12,12
2024,01,02,11,140,11,210,2023,03,03,03,5,5,1,1,04,05
2024,01,02,11,150,11,150,2018,12,01,02,5,5,1,1,05,04
